sequence.sequenceID,alignment.name,alignment.displayName,sequence.m49_country.id,sequence.m49_country.display_name,sequence.gb_place_sampled,sequence.collection_year,sequence.earliest_collection_year,sequence.latest_collection_year,sequence.gb_length,sequence.gb_create_date,sequence.gb_update_date,sequence.host,sequence.gb_pubmed_id,,sequence.isolate,,,
AB093464,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Ghaiyapoom,1999,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,37NE,,,
AB093465,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Ghaiyapoom,1999,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,38NE,,,
AB093466,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Ghaiyapoom,1999,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,38NE,,,
AB093467,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Udorththani,2000,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,39NE,,,
AB093468,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Udorththani,2000,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,39NE,,,
AB093469,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Udorththani,2000,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,40NE,,,
AB093470,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Udorththani,2000,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,40NE,,,
AB093471,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Udorththani,2000,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,41NE,,,
AB093472,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Udorththani,2000,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,41NE,,,
AB154208,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,bukittinggi,2001,-,2003,1312,16-Dec-03,27-May-13,cat,18420300,,SC01-68,,,
AB154209,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Bukittinggi,2001,-,2003,1312,16-Dec-03,27-May-13,cat,18420300,,SC01-74,,,
AB154210,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,bukittinggi,2001,-,2003,1312,16-Dec-03,27-May-13,cat,18420300,,SC01-75,,,
AB154211,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Bukittinggi,2002,-,2003,1312,16-Dec-03,27-May-13,cat,18420300,,SC02-82,,,
AB154212,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,bukittinggi,2001,-,2003,1312,16-Dec-03,27-May-13,cattle,18420300,,SC01-73,,,
AB154213,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Bukittinggi,2001,-,2003,1312,16-Dec-03,27-May-13,civet cat,18420300,,SC01-66,,,
AB154214,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Bukittinggi,2001,-,2003,1312,16-Dec-03,27-May-13,deer,18420300,,SC01-65,,,
AB154215,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Ende,2001,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,FL01-06,,,
AB154216,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Flores timur,2002,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,FL01-08,,,
AB154217,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Sikka,2002,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,FL02-10,,,
AB154218,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Flores,1997,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,FL97-01,,,
AB154221,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Eastern Kalimantan,2000,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,KL00-18,,,
AB154222,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Tapin,2001,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,FL01-27,,,
AB154223,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Eastern Kalimantan,1997,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,KL97-03,,,
AB154224,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Bukittinggi,2002,-,2003,1312,16-Dec-03,27-May-13,monkey,18420300,,SC02-87,,,
AB154225,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Pesisir Selatan,2000,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,SC00-12,,,
AB154226,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Padang,2000,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,SC00-36,,,
AB154227,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,TJ. Mutiara,2000,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,SC00-45,,,
AB154228,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Bute,2001,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,SC01-63,,,
AB154229,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,bukittinggi,2002,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,SC02-79,,,
AB154230,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Bukittinggi,2002,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,SC02-83,,,
AB154231,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Bukittinggi,2002,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,SC02-89,,,
AB154232,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,bukittinggi,2002,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,SC02-91,,,
AB154233,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Bukittinggi,1997,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,SC97-01,,,
AB154234,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Deli Serdang,2000,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,SN00-03,,,
AB154235,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Medan,2000,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,SN00-14,,,
AB154237,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,bengkulu,2001,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,SS01-13,,,
AB154238,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Rejanglebong,2001,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,SS01-21,,,
AB154239,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Pangkep,2001,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,SW01-11,,,
AB154240,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Southern Sulawesi,2002,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,SW02-22,,,
AB154241,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Manado,1997,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,SW97-04,,,
AB154242,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Bukittinggi,2001,-,2003,1312,16-Dec-03,27-May-13,tiger,18420300,,SC01-70,,,
AB154243,AL_Asian_SEA1b,Asian SEA1b,IDN,Indonesia,Bukittinggi,2002,-,2003,1312,16-Dec-03,27-May-13,dog,18420300,,SC02-90,,,
AB299032,AL_Asian_SEA3,Asian SEA3,VNM,Vietnam,Ho Chi Minh,1999,-,2007,609,25-Sep-07,25-Jul-16,Canis lupus familiaris,17895600,,HCM1,,,
AB299033,AL_Asian_SEA3,Asian SEA3,VNM,Vietnam,Ho Chi Minh,1999,-,2007,609,25-Sep-07,25-Jul-16,Canis lupus familiaris,17895600,,HCM2,,,
AB299034,AL_Asian_SEA3,Asian SEA3,VNM,Vietnam,Ho Chi Minh,1999,-,2007,609,25-Sep-07,25-Jul-16,Canis lupus familiaris,17895600,,HCM5,,,
AB299035,AL_Asian_SEA3,Asian SEA3,VNM,Vietnam,Ho Chi Minh,1999,-,2007,609,25-Sep-07,25-Jul-16,Canis lupus familiaris,17895600,,HCM6,,,
AB299036,AL_Asian_SEA3,Asian SEA3,VNM,Vietnam,Ho Chi Minh,1999,-,2007,609,25-Sep-07,25-Jul-16,Canis lupus familiaris,17895600,,HCM7,,,
AB299037,AL_Asian_SEA3,Asian SEA3,VNM,Vietnam,Ho Chi Minh,2000,-,2007,609,25-Sep-07,25-Jul-16,Canis lupus familiaris,17895600,,HCM8,,,
AB299038,AL_Asian_SEA3,Asian SEA3,VNM,Vietnam,Ho Chi Minh,2001,-,2007,609,25-Sep-07,25-Jul-16,Canis lupus familiaris,17895600,,HCM9,,,
AB299039,AL_Asian_SEA3,Asian SEA3,VNM,Vietnam,Ho Chi Minh,2001,-,2007,609,25-Sep-07,25-Jul-16,Canis lupus familiaris,17895600,,HCM10,,,
AB299040,AL_Asian_SEA3,Asian SEA3,VNM,Vietnam,Ho Chi Minh,2002,-,2007,639,25-Sep-07,25-Jul-16,Canis lupus familiaris,17895600,,VN3,,,
AB299041,AL_Asian_SEA3,Asian SEA3,VNM,Vietnam,Ho Chi Minh,2002,-,2007,660,25-Sep-07,25-Jul-16,Canis lupus familiaris,17895600,,VN52,,,
AB563791,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region4A, Cavite",2004,2004,2004,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2004/Z-04-042,,,
AB563792,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 4A, Laguna",2004,2004,2004,699,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2004/Z-04-211,,,
AB563793,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 4A, Cavite",2004,2004,2004,715,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2004/Z-04-389,,,
AB563794,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region4A, Rizal",2004,2004,2004,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2004/Z-04-401,,,
AB563795,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region 4A, Cavite",2004,2004,2004,715,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2004/Z-04-420,,,
AB563796,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"NCR, Metro Manila",2004,2004,2004,712,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/NCR.PHL/2004/Z-04-421,,,
AB563797,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region4A, Laguna",2004,2004,2004,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2004/Z-04-480,,,
AB563798,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region3, Aurora",2004,2004,2004,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R3.PHL/2004/Z-04-519,,,
AB563799,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"NCR, Metro Manila",2004,2004,2004,706,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/NCR.PHL/2004/Z-04-534,,,
AB563800,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"NCR, Metro Manila",2005,2005,2005,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/NCR.PHL/2005/Z-05-009,,,
AB563801,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"R4A, Laguna",2005,2005,2005,840,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2005/Z-05-012,,,
AB563802,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"R4A, Cavite",2005,2005,2005,707,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2005/Z-05-017,,,
AB563803,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"NCR, Metro Manila",2005,2005,2005,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/NCR.PHL/2005/Z-05-090,,,
AB563804,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"R4A, Laguna",2005,2005,2005,700,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2005/Z-05-123,,,
AB563805,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"NCR, Metro Manila",2005,2005,2005,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/NCR.PHL/2005/Z-05-149,,,
AB563806,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"NCR, Metro Manila",2005,2005,2005,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/NCR.PHL/2005/Z-05-168,,,
AB563807,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region11, Davao del Sur",2005,2005,2005,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R11.PHL/2005/Z-05-186,,,
AB563808,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"NCR, Metro Manila",2005,2005,2005,659,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/NCR.PHL/2005/Z-05-187,,,
AB563809,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region3, Nueva Ecija",2005,2005,2005,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R3.PHL/2005/Z-05-198,,,
AB563810,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"NCR, Metro Manila",2005,2005,2005,840,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/NCR.PHL/2005/Z-05-285,,,
AB563811,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"NCR, Metro Manila",2005,2005,2005,659,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/NCR.PHL/2005/Z-05-299,,,
AB563812,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"NCR, Metro Manila",2005,2005,2005,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/NCR.PHL/2005/Z-05-373,,,
AB563813,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"NCR, Metro Manila",2005,2005,2005,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/NCR.PHL/2005/Z-05-396,,,
AB563814,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"NCR, Metro Manila",2005,2005,2005,712,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/NCR.PHL/2005/Z-05-424,,,
AB563815,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"NCR, Metro Manila",2005,2005,2005,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/NCR.PHL/2005/Z-05-465,,,
AB563816,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"NCR, Metro Manila",2005,2005,2005,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/NCR.PHL/2005/Z-05-466,,,
AB563817,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region3, Bulacan",2005,2005,2005,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R3.PHL/2005/Z-05-507,,,
AB563818,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"R4A, Batangas",2006,2006,2006,807,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2006/Z-06-039,,,
AB563819,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region4A, Laguna",2006,2006,2006,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2006/Z-06-163,,,
AB563820,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region4A, Batangas",2006,2006,2006,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2006/Z-06-197,,,
AB563821,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region4B, Oriental Mindoro",2006,2006,2006,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R4B.PHL/2006/Z-06-203,,,
AB563822,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region4A, Cavite",2006,2006,2006,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2006/Z-06-222,,,
AB563823,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region4A, Cavite",2006,2006,2006,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2006/Z-06-231,,,
AB563824,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region4A, Laguna",2006,2006,2006,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2006/Z-06-342,,,
AB563825,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"R4A, Batangas",2006,2006,2006,1549,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2006/Z-06-345,,,
AB563826,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region4A, Cavite",2006,2006,2006,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2006/Z-06-348,,,
AB563827,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region4A, Batangas",2006,2006,2006,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2006/Z-06-357,,,
AB563828,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region4A, Laguna",2006,2006,2006,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2006/Z-06-361,,,
AB563829,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region4A, Batangas",2006,2006,2006,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2006/Z-06-362,,,
AB563830,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region4A, Cavite",2006,2006,2006,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2006/Z-06-365,,,
AB563831,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"R4B, Oriental Mindoro",2006,2006,2006,1549,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R4B.PHL/2006/Z-06-408,,,
AB563832,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region4A, Cavite",2007,2007,2007,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2007/Z-07-189,,,
AB563833,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region4A, Cavite",2007,2007,2007,1575,3-Apr-13,25-Jun-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2007/Z-07-243,,,
AB563834,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"R4A, Quezon",2007,2007,2007,798,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2007/Z-07-252,,,
AB563835,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"R4A, Cavite",2007,2007,2007,789,3-Apr-13,29-May-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2007/Z-07-307,,,
AB563836,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region4A, Cavite",2007,2007,2007,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2007/Z-07-317,,,
AB563837,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region4A, Cavite",2007,2007,2007,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R4A.PHL/2007/Z-07-330,,,
AB563838,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region3, Pampanga",2008,2008,2008,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R3.PHL/2008/TRa-002,,,
AB563839,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region5, Albay",2008,2008,2008,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R5.PHL/2008/TRa-005,,,
AB563840,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region3, Pampanga",2008,2008,2008,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R3.PHL/2008/TRa-006,,,
AB563841,AL_Asian_SEA4,Asian SEA4,PHL,Philippines,"Region3, Nueva Ecija",2008,2008,2008,1575,3-Apr-13,30-Jul-13,Canis lupus familiaris,23593515,,RV/R3.PHL/2008/TRa-009,,,
